Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33,Sensor_34,Sensor_35,Sensor_36,Sensor_37,Sensor_38,Sensor_39,Sensor_40,Sensor_41,Sensor_42,Sensor_43,Sensor_44,Sensor_45,Sensor_46,Sensor_47,Sensor_48,Sensor_49,Sensor_50,Sensor_51,Sensor_52,Sensor_53,Sensor_54,Sensor_55,Sensor_56,Sensor_57,Sensor_58,Sensor_59,Sensor_60,Sensor_61,Sensor_62,Sensor_63,Sensor_64,Sensor_65,Sensor_66,Sensor_67,Sensor_68,Sensor_69,Sensor_70,Sensor_71,Sensor_72,Sensor_73,Sensor_74,Sensor_75,Sensor_76,Sensor_77,Sensor_78,Sensor_79,Sensor_80,Sensor_81,Sensor_82,Sensor_83,Sensor_84,Sensor_85,Sensor_86,Sensor_87,Sensor_88,Sensor_89,Sensor_90,Sensor_91,Sensor_92,Sensor_93,Sensor_94,Sensor_95,Sensor_96,Sensor_97,Sensor_98,Sensor_99,Sensor_100
-0.710010819,1.062682281,0.733104854,-1.377780217,-0.153617661,0.488941614,0.246113037,0.753293521,0.739383603,-0.19625847,0.51185844,-0.821059914,-2.232562789,-0.789499272,0.610588296,0.331502451,-1.383807307,-0.088515701,-1.044199192,-0.357213467,0.821702329,-0.251818567,-0.158603331,-1.045492961,-0.922820098,-0.571748197,0.641498307,-0.039777834,-0.048879543,-2.521855853,-1.902133352,-1.787111674,0.217089814,1.10511829,0.066925615,-0.254078942,-1.179294275,-1.991194402,-1.16872109,0.375228902,-0.600413367,-0.134059072,-1.275622798,-1.249163357,-1.079611552,2.202443134,1.51457507,-1.633142753,-0.824832711,-1.27702417,0.910205381,-0.112145686,-0.38750552,0.169727386,-0.187226169,-2.14374472,0.634769761,-0.461761948,1.455423633,1.722275205,-0.599403256,0.341020937,0.068276523,-0.29413446,-1.063934332,2.366979188,-0.269726586,-1.254340403,0.234633983,-2.498861397,0.691613338,0.909321312,0.22729546,-0.030001752,-1.248805372,-0.602903493,0.785256548,0.034389398,0.296880936,-0.32991422,-1.034174836,-0.542887139,-1.30401033,0.340340754,-0.322296359,-0.867015309,-0.386188537,-2.179055451,-0.370582774,0.569830043,0.154297029,-0.980222515,-0.318103159,-1.240563134,-1.256694692,0.683272146,-0.154646836,0.554613373,0.153459836,-0.744438329
-0.905529321,-0.388680523,0.028959692,-0.022758184,0.791812985,-1.231335887,-0.943408965,0.311075354,0.188402566,0.440018651,0.43732099,-0.133836989,-2.05856869,-1.109167458,0.000746503,0.197884042,0.493467619,-0.047085783,-0.030689259,-1.590963361,0.30523235,1.630676591,0.805469162,-0.65088015,-0.103181809,0.02313773,1.658437293,0.208220015,0.813033994,-0.481272816,-1.398774907,-0.20401723,-0.871042911,3.052896015,1.370822386,-0.68162082,-1.281167058,-2.126313984,-0.785513482,-0.146876085,0.376769502,0.781725122,0.077545822,-0.163325158,-2.56256646,1.061977316,-0.285523556,1.414525568,0.154968024,-0.177858415,-0.878223806,0.65871382,1.70828385,0.815054825,0.303440163,-1.803581795,-0.843570602,-0.120520169,0.133114009,1.773816013,1.058681081,0.060878319,-2.506211967,0.061444729,-0.32966118,0.076750042,1.167982352,0.031240913,-1.376500778,-1.396774881,1.047040676,0.516674774,0.355300622,-0.43116255,0.420589578,0.589082713,-0.666273688,1.417368339,-0.57352084,0.466860368,0.425322625,-0.616110858,-0.653976661,0.631056595,-0.418551969,-0.702105076,0.174120044,-2.411518619,-0.841260724,1.064478561,1.294788137,0.508479665,0.373848055,-0.444197689,-1.56280833,-1.062592959,1.140104219,0.278067478,1.572402453,-1.317505553
0.270614513,0.032036866,0.176555243,1.008671265,0.387625284,0.723566367,0.344600604,-0.701707215,-0.521111457,-0.038886731,0.329472895,0.531418053,0.910851362,-1.011050351,-1.524594638,-1.516614134,0.856847603,-0.065050612,0.299329592,-1.091032208,-0.253687975,-1.937796523,-0.243265691,0.487787812,0.057910507,0.692713594,-0.845971999,-1.403659995,0.476476119,0.53552783,1.194364973,0.026602336,0.448756586,-1.543007407,-0.837343847,0.859210332,-0.175749644,0.391877015,-0.599987065,-1.491026478,-1.328153096,0.224246329,0.914371881,0.041834539,-0.666768744,-0.699115592,-0.630570772,0.878964206,-1.048054582,1.289599951,1.486871464,0.629659096,-2.93070633,-0.5103634,0.739450552,1.985788429,1.269411625,1.528954019,-0.978322275,-1.725470073,-0.580164439,2.280051447,1.752527378,-0.532630887,-1.049572958,-0.887823797,-1.044041947,1.777812391,0.573129339,-0.4580528,-0.037811603,0.491411204,-1.891856112,1.010163925,1.252411669,1.273589491,-0.387941988,-1.593740121,-1.373958555,0.861767276,-0.310767373,0.588422998,0.412180349,-2.168643348,-2.743341514,-0.973722076,0.909370845,0.446194828,-0.557905253,-0.202762478,0.230411204,-1.731893259,1.341516479,1.014479819,2.020426876,-0.181299207,-0.586631137,0.016472867,2.33647949,0.217485011
-0.094601937,-2.546103768,0.832885382,0.190026582,0.047184328,1.168337159,-0.124048161,-0.239266854,-1.803240156,-0.033085368,1.474914824,0.984780106,0.719635799,-0.601016377,0.01358592,-0.00668153,1.366781182,2.080007296,-1.468473327,-0.659220673,-0.465934433,-0.067010841,0.895160209,0.648117002,1.214557968,0.665377329,-1.383876497,0.270901104,-0.935608833,1.23753134,0.057335597,0.900559292,-1.168926693,-1.259346263,0.884047615,3.110466852,0.236689256,-0.030034728,-0.420997173,-2.165849408,-0.926430374,0.835557404,0.81370816,1.235244882,0.563636079,-1.125790863,-1.372230233,0.634144295,0.599735562,-0.224509973,-1.559725052,-0.633188144,-0.777112564,0.763811339,-0.280054373,0.935331702,0.680735741,-0.494578606,-0.299293618,-1.164894947,0.644680457,0.084768224,-0.536692818,0.26019027,-1.931545116,-0.120693743,0.780164496,0.698541837,0.134117867,1.114093227,0.69822812,-1.093559069,1.128328018,1.089464059,-1.331047852,1.929542438,-1.024740337,-0.587830829,-1.397180436,-0.627126324,0.205905065,1.341462379,-0.29301076,-0.067069858,0.134001155,0.825472187,0.63190654,0.546825363,-0.292825643,-1.643157964,-0.098219025,0.433410026,1.23117249,1.43590438,-1.585137084,-1.872921665,0.34756166,-0.417415022,-0.244759912,1.194238608
0.085374938,1.578854484,0.859127795,1.490664794,-0.524909231,-1.259713224,-0.602985726,0.998079398,1.252289377,0.653444529,-0.346259878,-2.790379489,0.370701602,2.209566758,1.53273897,1.072458739,-0.032603896,-1.206022964,0.849353639,0.072954076,1.171430615,0.633681969,-0.615124674,-1.243138991,-1.713034806,-0.054925629,0.677690573,2.255926748,-0.803280254,-1.767631453,-0.697417311,-1.229230872,0.35233323,1.281051117,1.837447891,-0.37042505,-1.588045472,-2.153444497,0.075708368,0.098950844,-0.010696319,0.678594311,-0.553071219,0.32494984,0.359383668,1.137756812,1.00398332,0.971227699,-0.364052554,-1.043456047,-0.458512062,0.3381403,1.300688587,-0.069790025,-0.377373827,-1.639168256,1.273058834,0.366976372,2.212375795,0.498768112,-0.553304368,-3.467893635,-1.239197446,0.614592656,2.130345993,1.928885266,-1.610333447,-0.25796728,-0.27764009,0.352609382,1.220380754,-0.587671319,0.430704251,-0.518956814,-1.918452803,-0.479793952,-0.070417307,1.074686919,0.909927398,-0.605247774,-0.626183075,0.122980263,0.347195542,1.215936783,0.201650979,0.635816576,-0.491761856,-0.602644931,0.549469076,1.824909983,-0.345645549,-0.53469238,-1.116822799,-0.947098646,0.976481796,0.629453416,0.153261118,-0.024280161,0.237459925,-1.011880693
2.447326876,2.055316255,-0.091353577,-0.668806877,-0.329761389,-0.012615379,0.981645752,0.951880217,0.833676661,-1.205564742,0.267509604,-0.267091231,-0.451176079,0.575093965,1.029266447,-1.632917967,-0.353217075,-0.426042183,-0.454854255,1.12433803,1.749348706,0.488399696,-2.469306732,-0.869880116,0.548983918,0.006605833,0.087649247,0.896371587,-0.535143025,-2.101813329,-0.017082825,0.663283842,1.956321848,-1.113288436,-1.202888136,0.593795843,0.268663042,-0.857422186,1.281554686,-0.524139774,0.200321458,-0.949795196,-1.326650634,-0.272853657,1.463444676,0.934816469,-1.401976845,0.217005873,-1.729661032,0.157564633,0.068685585,0.855393295,-0.907330939,-2.446742508,-1.285494296,1.733989925,1.450948559,0.950179785,0.007103427,0.05463564,-0.457948112,0.494910017,0.010677233,-0.049007087,1.038861523,-1.677372348,-1.176657407,-0.085173864,1.535289014,-0.284118174,-0.272776454,0.281290883,-1.963045838,-0.481713408,0.102275501,0.255562709,0.898539646,0.389291949,0.744872054,-1.236154385,-0.486632527,0.271951517,0.191842845,-0.0638261,-0.836883591,1.024826587,-0.476804848,0.914500181,0.635447832,1.029114214,-0.635417983,-0.535894735,-1.459794652,1.095338365,-0.656510662,1.53974692,-1.055473673,-1.333835654,-0.913234878,0.28677669
-2.153302081,-0.525360816,1.32043975,0.584946729,-0.3512316,1.308106259,-0.86867687,-0.641330158,0.430161311,0.832179843,0.040241148,0.657300172,-1.456341175,1.447963739,-0.159036224,0.40915024,0.272491087,-0.627553945,-0.93705718,-0.165805621,-0.13306195,1.204266165,0.54621872,-0.043141625,-1.762337717,-0.27540075,-0.750087999,0.807826931,1.166237571,1.369837997,-0.359508226,-0.931119258,-0.710614875,0.822199753,0.367667387,-0.225855089,0.122816,-2.015846302,-0.428524677,0.88381912,1.340403664,1.012324576,-0.243374541,-1.057138072,-0.648526022,-1.28690332,0.472265104,0.380712846,2.466522692,0.439633283,-0.889010086,-0.897384953,1.050953809,2.426283295,0.615491403,-0.430021749,-1.024770874,-1.264174686,-0.438519317,1.933003949,-0.065571584,0.399793736,-0.239076636,-0.76801026,-0.080225953,0.041859817,2.041958269,-1.809357291,-1.103766993,0.508079436,-0.687280599,1.450750094,1.054443485,-0.082986029,0.410460233,-0.589720929,0.714395323,1.302377963,0.510308114,1.073108161,-0.439345592,-2.014147012,-1.628921247,-0.350212354,-0.555676539,0.278985497,1.823242464,0.270086319,-2.48928241,-0.602232482,0.700317769,2.286770887,0.539620444,-0.703264083,-0.61965198,0.101117507,0.63731192,1.6850733,-0.293683673,-0.2898696
1.134057204,-0.341967291,-0.386812754,-1.082236557,0.531762466,2.03675192,0.444546612,-0.662898323,-0.498296771,-0.807518932,-0.199850018,2.353506469,-0.780173189,0.486251456,-1.437618287,-1.444818514,0.144137523,0.498373406,1.780912544,-1.412035891,0.573297689,-1.829120924,0.302900588,1.694557029,0.726615725,0.564159803,-1.023147572,-1.524221276,-1.49352507,0.403023031,-0.281284709,0.803599705,-0.386515403,-0.226709796,-0.470168149,-0.170575048,0.119671565,1.111859193,0.342490648,-1.815840142,-1.882739926,-0.806675059,0.771558186,-0.586212749,1.34950735,-1.300911016,-0.760047089,-0.88761529,0.21743492,-0.004905296,0.522667245,-1.910970113,-0.855000389,-0.883740179,0.876380671,1.808389423,1.66217013,-0.013963979,0.085636749,-1.942465744,-0.478113887,0.661660566,2.012551989,-0.581765724,-0.319234418,-1.574346045,-1.031782531,0.549750523,0.236230569,1.548282081,-0.052873483,-1.126493191,-0.452761803,0.032906695,1.873073793,0.779232308,0.03406246,-0.186042993,-1.408418237,-0.36365156,1.735974034,1.879417961,-1.267957596,-0.348652304,-0.732631843,0.883459357,0.70545141,3.114526908,-0.494074661,-0.509886643,-0.436459681,-0.106524875,-0.137970667,0.372691023,1.841207172,-1.092154843,0.419531946,-0.769275986,0.762245053,0.796990264
-1.209533764,0.992283135,1.090782274,-0.352893815,-0.874821451,-1.994757031,-0.076622959,0.942957404,0.033078137,0.640390928,-0.94927267,1.000987163,-1.478873318,0.421741734,0.64805274,0.988259024,1.787871992,-0.882230513,-2.066724383,0.261172698,0.681474514,0.005902012,-1.120191204,0.1179181,-0.505977153,-0.406900288,1.130046731,0.597612261,-0.203134357,-1.480755819,-0.278772992,0.833945319,0.702413568,0.932919755,0.632690923,-0.33892634,0.649382228,-1.870976577,0.928554624,0.473968498,0.022828082,0.167523656,-1.479953406,-1.341360251,-0.421803673,0.064906619,0.610147341,0.982050987,-0.328712918,-1.701101503,-0.185287549,-0.667646194,0.521004031,0.714757812,-0.612153965,-1.739026821,-0.951062236,0.638200638,1.677483868,1.581407341,0.141058553,-0.714577621,-1.885017264,-0.025843005,0.330255112,-0.485207667,0.632413358,1.248336143,-0.002548068,0.593300591,0.661933979,1.279575102,0.710922477,-0.400964191,0.397009426,-1.705999217,0.484204443,2.163484968,0.922797861,0.745864799,-0.984856172,-1.849532539,1.668668839,0.528933381,1.437021993,-0.169316496,-0.279164909,-1.18530156,-1.748820117,0.673023763,-0.11054237,0.30465477,-1.307273619,-1.303574539,-0.612861006,-0.161117102,0.840089976,0.530571878,0.115629495,-2.208919059
-0.926548355,0.180981171,-0.235522181,1.810791024,0.392388659,1.18178284,-0.898256953,-2.379608537,-0.139416284,1.946128279,1.357449586,0.35231527,-1.233185999,-0.135911544,0.943015739,1.636862876,1.616249998,1.0853285,-1.29059469,0.996529661,1.488848574,2.009844948,0.356974826,1.06327083,-0.504547366,-1.182539754,-1.119441835,1.03234467,2.157726786,1.246532792,-1.304302137,-1.429687668,-0.026472518,0.49778023,0.183821986,0.69281828,0.426761097,-1.066104723,0.287205807,-0.961491974,2.028935726,1.060249394,-0.272553201,-1.206348275,-0.321827685,0.106878333,0.1535597,2.120864271,0.653110396,-0.37581459,-1.16885341,-1.136444324,0.91735396,1.748359707,-0.226601148,-0.008453258,-1.892909098,-2.196136702,-0.859050741,0.353617795,0.323728748,0.115147612,0.170935961,-1.405213566,-1.805493261,0.824841828,1.585001546,-0.139125715,0.336975071,-1.688210552,-1.246689858,1.673607238,1.055888308,1.022924455,0.16725479,0.091968648,-2.546986005,1.327902585,1.972214023,0.536088527,-0.031063583,-1.512997787,0.508733147,-0.088578794,1.445781217,1.113986941,0.920956521,-0.282523244,-1.167079204,-0.330301001,-0.184146963,0.423139432,-0.052285252,-1.08118081,-1.766867934,-0.925183914,1.989673457,0.135402752,0.185012147,0.151589877
